CustomerID,Name,Age,Gender,Location,PurchaseAmount,PurchaseDate
101,Arun,25,Male,Chennai,2500.0,2025-01-10
102,Priya,28,Female,Chennai,3200.0,2025-01-12
103,Ravi,22,Male,Madurai,1800.0,2025-01-15
104,Divya,28,Female,Coimbatore,4500.0,2025-01-18
105,Karthik,35,Male,Chennai,5000.0,2025-01-20
106,Meena,31,Female,Madurai,3200.0,2025-01-22
107,Suresh,27,Male,Coimbatore,2800.0,2025-01-25
108,Anu,24,Female,Chennai,3500.0,2025-01-28
109,Rahul,29,Male,Madurai,4200.0,2025-02-01
110,Priya,28,Female,Chennai,3200.0,2025-01-12
111,Manoj,40,Male,Coimbatore,6000.0,2025-02-05
112,Latha,28,Female,Madurai,2700.0,2025-02-08
113,Vijay,33,Male,Chennai,3200.0,2025-02-10
114,Swetha,26,Female,Coimbatore,3100.0,2025-02-12
115,Arun,25,Male,Chennai,2500.0,2025-01-10
